region_id,n,zones,lonmin,lonmax,latmin,latmax,span_km,members
heard_mcdonald,8,43S,72.57732,73.7189,-53.1141,-53.0243,61,"Heard_Island_60m,Heard_Island_Atlas_Cove,Heard_Island_Atlas_Cove_2,Heard_Island_Big_Ben,Heard_Island_Compton_Lagoon,Heard_Island_Spit_Bay,Heard_Island_Spit_Bay_2,McDonald_Island"
casey_station,2,49S,110.5267,110.5267,-66.2825,-66.2825,0,"Casey_Station,Casey_Station_2"
dome_c_north,2,51S,122.5206,123.3322,-75.3413,-75.0997,35,"Concordia_Station,Dome_C_North"
eyjafjordur,2,27N,-18.127,-18.127,65.85,65.85,0,"Eyjafjordur,Eyjafjordur_Fjord"
kerguelen_island_100m,2,42S,69.5,70.04633,-49.47643,-49.35,42,"Kerguelen_Island_100m,Kerguelen_Island_Esperance"
macquarie_island_south,2,57S,158.8252,158.9384,-54.7556,-54.4987,29,"Macquarie_Island_South,Macquarie_Island_Station"
mawson_station,2,41S,62.817,62.8742,-67.6033,-67.583,3,"Bechervaise_Island,Mawson_Station"
point_geology,2,54S,139.9978,140.01612,-66.67453,-66.6651,1,"Dumont_dUrville_Station,Point_Geology"
amanda_bay,1,43S,76.82765,76.82765,-69.27298,-69.27298,0,Amanda_Bay
amundsen_bay,1,39S,50.55501,50.55501,-66.78711,-66.78711,0,Amundsen_Bay
astrid_coast,1,32S,8.322,8.322,-69.943,-69.943,0,Astrid_Coast
atka_bay,1,29S,-8.138,-8.138,-70.585,-70.585,0,Atka_Bay
auster,1,41S,63.9515,63.9515,-67.40432,-67.40432,0,Auster
barrier_bay,1,44S,81.951,81.951,-67.165,-67.165,0,Barrier_Bay
bear_peninsula,1,12S,-110.184,-110.184,-74.472,-74.472,0,Bear_Peninsula
beaufort_island,1,58S,166.92,166.92,-76.931,-76.931,0,Beaufort_Island
bowman_island,1,48S,103.19673,103.19673,-65.23809,-65.23809,0,Bowman_Island
brownson_islands,1,13S,-103.6405,-103.6405,-74.13947,-74.13947,0,Brownson_Islands
bryan_coast,1,16S,-85.394,-85.394,-73.256,-73.256,0,Bryan_Coast
campbell_island,1,59S,169.0854,169.0854,-52.54646,-52.54646,0,Campbell_Island
cape_colbeck,1,04S,-157.577,-157.577,-77.155,-77.155,0,Cape_Colbeck
cape_crozier,1,59S,169.272,169.272,-77.451,-77.451,0,Cape_Crozier
cape_darlington,1,20S,-60.177,-60.177,-71.984,-71.984,0,Cape_Darlington
cape_denison,1,54S,142.663,142.663,-67.0086,-67.0086,0,Cape_Denison
cape_gates,1,10S,-122.714,-122.714,-73.671,-73.671,0,Cape_Gates
cape_poinsett,1,49S,113.2796,113.2796,-65.80988,-65.80988,0,Cape_Poinsett
cape_roget,1,59S,170.623,170.623,-71.985,-71.985,0,Cape_Roget
cape_washington,1,58S,165.394,165.394,-74.648,-74.648,0,Cape_Washington
casey_bay,1,38S,46.97604,46.97604,-67.3094,-67.3094,0,Casey_Bay
coulman_island,1,59S,169.643,169.643,-73.338,-73.338,0,Coulman_Island
cruzen_island,1,07S,-140.308,-140.308,-74.732,-74.732,0,Cruzen_Island
davies_bay,1,57S,158.439,158.439,-69.333,-69.333,0,Davies_Bay
davis_station,1,43S,77.9675,77.9675,-68.5767,-68.5767,0,Davis_Station
dawson_lampton_ice_tongue,1,26S,-26.76,-26.76,-76.071,-76.071,0,Dawson_Lampton_Ice_Tongue
dibble_glacier,1,53S,134.72714,134.72714,-65.95815,-65.95815,0,Dibble_Glacier
dion_islands,1,19S,-68.704,-68.704,-67.866,-67.866,0,Dion_Islands
dolleman_island,1,20S,-60.554,-60.554,-70.686,-70.686,0,Dolleman_Island
drescher_inlet,1,27S,-19.302,-19.302,-72.813,-72.813,0,Drescher_Inlet
flutter,1,42S,69.69727,69.69727,-67.8821,-67.8821,0,Flutter
fold_island,1,40S,59.263,59.263,-67.30473,-67.30473,0,Fold_Island
franklin_island,1,59S,168.393,168.393,-76.178,-76.178,0,Franklin_Island
